id,range_names,GPU Elapsed Time
881,DrawIndexed,49.88
882,DrawIndexed,74.68
883,DrawIndexed,33.92
884,DrawIndexed,39.84
885,DrawIndexed,176.96
886,DrawIndexed,21.36
887,DrawIndexed,23.16
888,DrawIndexed,32.36
889,DrawIndexed,27.2
890,DrawIndexed,27.36
891,DrawIndexed,41.32
892,DrawIndexed,93.2
893,DrawIndexed,31.08
894,DrawIndexed,56
895,DrawIndexed,46.36
896,DrawIndexed,56.56
897,DrawIndexed,59.12
898,DrawIndexed,19.36
899,DrawIndexed,21.96
900,DrawIndexed,25.64
901,DrawIndexed,17.84
902,DrawIndexed,11.32
903,DrawIndexed,14.32
904,DrawIndexed,15.04
905,DrawIndexed,12.8
906,DrawIndexed,13.44
907,DrawIndexed,13.92
908,DrawIndexed,13.84
909,DrawIndexed,14.04
910,DrawIndexed,13.04
911,DrawIndexed,14.72
912,DrawIndexed,12.12
913,DrawIndexed,14.92
914,DrawIndexed,13.68
915,DrawIndexed,6.8
916,DrawIndexed,7.12
917,DrawIndexed,7.36
918,DrawIndexedInstanced,43.68
919,DrawIndexed,28.04
920,DrawIndexedInstanced,33.24
921,DrawIndexed,20.96
922,DrawIndexed,21.08
923,DrawIndexed,18.72
924,DrawIndexedInstanced,25.8
925,DrawIndexedInstanced,30.44
926,DrawIndexed,5.24
927,DrawIndexed,16.24
928,DrawIndexed,55.84
929,DrawIndexed,19.04
930,DrawIndexed,14.16
931,DrawIndexed,16.72
932,DrawIndexed,16
933,DrawIndexed,24.72
934,DrawIndexedInstanced,22.12
935,DrawIndexedInstanced,41.72
936,DrawIndexedInstanced,21.52
937,DrawIndexed,8.04
938,DrawIndexed,21.72
939,DrawIndexed,22.12
940,DrawIndexed,17.12
941,DrawIndexed,15.68
942,DrawIndexed,47.8
943,DrawIndexed,14.6
944,DrawIndexed,7.84
945,DrawIndexed,19.48
946,DrawIndexed,14.08
947,DrawIndexed,7.36
948,DrawIndexed,20.4
949,DrawIndexed,12.4
950,DrawIndexed,17.08
951,DrawIndexed,5.52
952,DrawIndexedInstanced,30.36
953,DrawIndexed,6.04
954,DrawIndexedInstanced,19.76
955,DrawIndexed,19.72
956,DrawIndexedInstanced,19.68
957,DrawIndexed,14.52
958,DrawIndexed,26.96
959,DrawIndexed,19.88
960,DrawIndexed,10.96
961,DrawIndexed,8.4
962,DrawIndexed,19.04
963,DrawIndexed,21.04
964,DrawIndexed,19.12
965,DrawIndexed,44.36
966,DrawIndexed,19.32
967,DrawIndexed,35.8
968,DrawIndexed,49.08
969,DrawIndexed,11.92
970,DrawIndexed,12.72
971,DrawIndexed,13.04
972,DrawIndexed,13
973,DrawIndexed,5.28
974,DrawIndexed,12.68
975,DrawIndexed,13.56
976,DrawIndexed,12.92
977,DrawIndexed,12.72
978,DrawIndexed,12.56
979,DrawIndexed,33.2
980,DrawIndexed,10.12
981,DrawIndexed,8.8
982,DrawIndexed,173.32
983,DrawIndexed,13.4
984,DrawIndexed,12.36
985,DrawIndexed,13.84
986,DrawIndexed,6.16
987,DrawIndexed,15
988,DrawIndexed,5.92
989,DrawIndexed,97.36
990,DrawIndexed,28.52
991,DrawIndexed,74.12
992,DrawIndexed,33.32
993,DrawIndexed,47.96
994,DrawIndexedInstanced,185
995,DrawIndexedInstanced,127.56
996,DrawIndexed,35.76
